Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Botswana,BWA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,22,27,22,16,16,10,5,,5,5,5,,15,16,29,32,56,88,125,165,234,306,265,279,289,228,206
Central African Republic,CAF,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,15000,,,,230,160,170,310,100,320,325,309,264,241,240,139,168,190,135,28698,25368,35394,31056,42875,71669,98092,125090,159542,164902,162861,164567,252854,412028,471093,490879,545513,590858,610152,642437
Canada,CAN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,10,12,16,19,25,5,52,61,57,120,94,530,100,97,86,108,121,94,89,73,76,75,81,71,85
Central Europe and the Baltics,CEB,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90731,60783,218581,230372,163568,304323,349485,379282,362706,373470,351725,306024,320672,273451,248047,167193,128664,118480,112031,90122,78005,73955,72761,58733,48642,41463,34913,33979,33864,33686,33896
Switzerland,CHE,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,27,32,54,76,90,69,60,55,34,11,14,38,33,32,19,20,20,16,11,16,16,5,5,5,5,5
Channel Islands,CHI,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,13550,15350,2670,3000,3130,3130,1505,1885,2483,1794,1552,2181,2434,1906,608,1201,14547,14006,14042,15265,15475,14274,12801,9775,7005,1539,858,834,1705,1549,1183,929,798,964,988,1305,1163,1182,1145,588,571,554,495,493,479,486,694
China,CHN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,1200000,1330000,1326810,74000,70000,65000,66000,70000,75000,,,,,,,,24,24,104,24,24,124,154,24,265,413,1426,2011,82576,111507,113908,104691,105806,106731,109396,111950,110967,117403,132099,132390,134708,124086,140584,149087,175169,180546,184601,190369,193449,195121,210793,212911,207768,207716,212039,212863,175585
Cote d'Ivoire,CIV,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,37,41,102,203,272,355,531,561,771,856,23731,33625,23649,18333,26304,22222,22218,23148,41747,154818,100709,85650,71956,71107,46811,40009,38316,39351,37601
Cameroon,CMR,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,100,,84,170,236,2018,2111,2250,1349,1651,2067,2729,5228,6215,7631,9096,10373,11499,13852,14752,14952,15149,13360,11410,10739,10565,10344,11032,45118,66241,78560
"Congo, Dem. Rep.",COD,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,58700,47000,74800,78190,67330,54530,51650,43470,43920,43380,39820,39410,44070,264940,151560,70450,116750,118970,92455,101571,94512,86418,96619,69428,103537,100786,67423,65816,81269,74817,73279,89742,158794,173994,158828,255942,371705,392142,421355,453465,462186,430919,401908,370372,367991,455852,476691,491470,509275,499551,516765,541487,537474,620805,720302,802974,840449
"Congo, Rep.",COG,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,930,330,,,,,,,110,,,,,6,6,6,6,6,6,6,,,,,5,7,7,33,172,214,21143,17141,27297,27570,24237,27994,28950,28140,24428,20599,19726,19922,20546,20682,12836,12113,11744,14498,14772,13291,13295,13354,12743,12635
Colombia,COL,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,50,100,,,60,50,50,35,65,493,738,841,1040,1361,1902,2168,2376,3536,4412,9278,17937,30624,37992,47380,60447,72793,551741,373532,389753,395579,395950,394112,396711,360291,340116,311059,191635,138583,189254,189889
Comoros,COM,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,5,10,10,5,27,27,25,25,40,62,52,64,78,93,376,268,365,420,449,509,580,550,572,600,624,658,793
Cabo Verde,CPV,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,300,300,430,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,7,5,,34,28,27,22,22,22,22,22,27,27,10,5,10,10,25
Costa Rica,CRI,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,222,209,136,86,50,73,55,86,97,91,136,176,283,361,354,344,352,332,325,463,414,374,202,195,207,206,233
Caribbean small states,CSS,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6625,5926,2545,899,1031,920,871,765,628,609,530,473,516,677,990,1594,2290,3031,3299,3540,3857,4560,5138,5641,6199,6332,5657,6010,6356,6080,5751
Cuba,CUB,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,14500,16700,54500,17070,,1600,,,,,3560,1695,2705,655,925,1356,1876,686,836,3874,7680,13520,17614,21273,22409,23320,24857,25462,24911,23559,23322,20077,18950,18035,16084,15671,19003,33580,7496,7928,7537,7460,7845,7722,7453,7497,6827,5940,5331,5488,6625,8980
Curacao,CUW,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35
Cayman Islands,CYM,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,15
Cyprus,CYP,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,11,11,11,,,,6,9,9,7,10,17,12,5,5,5,,5,5,10,15,15,15,10,10,10,10,,,,7,,15
Czech Republic,CZE,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,70,70,70,60,50,50,,,,,393,389,494,421,456,981,411,385,5649,5790,6123,4491,3327,5017,4650,2040,977,695,1929,1243,809,1177,6985,6699,4528,3589,2136,1379,1354,1060,811,758,620,984,1321,1280,1266,1272,1236,1166,1127
Germany,DEU,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,8,449,384,421,443,689,1297,1182,1028,924,719,74,75,114,126,162,167,159,169,174,164,170,153,67,66,61,69,76
Djibouti,DJI,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,10,36,18065,18092,18096,8143,3222,1879,1911,451,470,520,492,498,479,645,638,613,556,595,626,747,870,1059,1437,1761,2124,2351,2444
Dominica,DMA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,17,24,30,49,58,56,51,51,49,52,41,35,35,20,26,36,50,60
Denmark,DNK,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,18,34,33,28,25,26,5,6,10,10,10,10,15,10,10,6,6,6,6,11,11,,,,5,10
Dominican Republic,DOM,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,30,30,29,50,42,45,48,45,82,89,93,62,141,352,313,222,238,239,280,298,348,382,359,427,472,546,590
Algeria,DZA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,,,5,5,18,55,69,84,20744,1522,2245,3409,5717,7140,8015,8399,12088,11651,10650,12024,8338,10599,9044,8168,6665,6098,5657,3643,3509,3470,3705,4021,4186,4519,4693
East Asia & Pacific (excluding high income),EAP,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694674,712093,976752,1013117,930482,932852,891029,870773,839444,926517,849400,792352,784760,707822,711077,727756,804910,724560,740924,976585,987127,988857,989977,1031143,1044260,1017833,1066147,1736102,1728631,1642818,1633086
Early-demographic dividend,EAR,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159783,1269442,1706024,1643657,3439183,2825104,1584063,1117508,1022948,978981,970228,1166946,1481756,1324969,1306280,1360426,1398962,1317745,1300537,1265187,1259115,1246115,1957054,3653182,5372022,6515087,7008880,8517766,8911634,8922340,9182700
East Asia & Pacific,EAS,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694674,712098,976757,1013122,930771,933101,891189,870890,839567,926635,849515,792465,785080,708146,711437,728168,806574,726470,742379,977427,988001,989679,990853,1031919,1045121,1018444,1066541,1736488,1729048,1643135,1633439
Europe & Central Asia (excluding high income),ECA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180015,241306,1338973,1574504,1737362,1611458,2093553,1934213,1698091,1517802,1161426,1102730,1522293,1374314,1226996,1041986,1045775,685342,708817,654985,635890,601420,584156,284720,501944,565173,473796,374454,336726,319992,383181
Europe & Central Asia,ECS,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217569,272190,1529461,1778161,1875021,1895739,2429519,2303061,2048220,1882064,1505244,1402064,1833354,1638637,1467808,1195080,1167078,796112,813905,738790,708208,670470,652846,340100,547913,604490,507228,407075,369424,352345,415847
Ecuador,ECU,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,27,38,48,174,203,216,215,507,492,669,649,815,720,718,772,878,1329,1063,1029,859,912,848,711,807,1006,1041,1251,1424,1644,1704
"Egypt, Arab Rep.",EGY,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,50,,,5,5,6,6,7,8,8,14,13,50,98,210,257,501,870,1198,1720,2606,3486,3954,4677,6442,5734,5361,6288,7608,6789,6775,6981,6905,7924,10013,12804,15899,17929,19792,22106,24850,27416,26604
Euro area,EMU,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,16,79,28552,16222,14457,8790,8692,6766,7029,6224,3571,8755,8584,7169,6928,8518,2389,2476,2480,2245,2385,2537,1800,1750,1647,1756,1892,2230,2324,2421
Eritrea,ERI,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,400,542,1542,1585,1385,1385,1385,177,167,133,43,43,500633,503200,427208,422432,286711,332222,319076,346779,347134,376847,333222,318167,124111,131108,144062,193738,208748,186391,209164,222454,251941,285356,308210,363081,407428,457247,486209,507260,504300,521949
Spain,ESP,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,680,670,650,390,210,140,510,,,,5,5,50,600,60,60,,60,,,,,,,42,36,217,214,57,49,75,45,58,51,53,49,2442,37,26,34,41,42,55,56,60,60,34,39,46,51,52
Estonia,EST,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,95,296,350,1309,1265,792,634,460,483,1058,1021,849,738,622,258,248,249,242,225,455,349,340,315,303,288,281,274,277
Ethiopia,ETH,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,28600,31000,31000,54350,55200,44640,46300,49200,91410,105700,655350,887670,1623870,2567998,1363266,1334915,1351917,1546134,1749309,1534548,1487663,1513307,1474919,1345928,251243,313131,251828,226429,100986,96264,84386,70663,71040,66396,58980,61235,62674,63153,65447,74007,59845,63861,62877,68838,70601,74965,77109,86857,85839,83958,87448,92232,93467,151336
European Union,EUU,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90758,60794,218586,230380,164517,305326,350996,380732,364015,375295,353399,307351,322508,275075,248917,168659,131728,119129,112652,90724,78625,74614,73458,59415,49352,42148,35328,34432,34374,34187,34447
Fragile and conflict affected situations,FCS,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11530466,11127309,10521624,9163205,7098740,6253900,6385322,6279335,6234465,6478226,7245866,7587040,6322662,5668199,5974445,5574044,6673361,8204141,7484749,7440605,7663638,7493254,7832463,9456607,11679333,13160244,14545157,17407645,17871009,17894287,18172928
Finland,FIN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,8,6,,5,10,5,,6,6,6,5,5,5,10,5,5,5,,
Fiji,FJI,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,89,156,222,305,326,301,328,401,731,1071,1088,1280,1376,1686,1824,1862,1888,1849,1576,1314,1109,927,887,791,734,675,591,516
France,FRA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14,46,60,62,60,74,41,92,110,112,286,79,99,97,80,90,92,94,92,84,90,50,54,59,50,49
Faroe Islands,FRO,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,22,27,22,17,27,27,27,24,34,37,50,78,96,116,132,145,167,180,189,180,179,174,167,216,342,440,459
United Kingdom,GBR,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,75,69,75,88,102,109,104,158,146,141,134,170,198,182,155,152,150,150,140,137,128,78,85,84,69,67
Georgia,GEO,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6010,5114,305,48485,47159,35665,29873,21818,17490,16970,12488,6620,7289,6337,11805,12597,15015,10636,10115,9266,6787,6687,6505,6405,6535,6983,7519,7358
Ghana,GHA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,310,1958,2202,3195,2699,3916,4769,4716,4690,4702,4776,4471,14284,13594,15100,14772,13625,13288,14760,14547,15675,15866,14759,18421,9949,5042,13225,14876,20175,20333,24269,21048,22116,22962,15527,16959,18071,18432,13877
Gibraltar,GIB,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,300,,,,300000,500000,3000,,,,,50,,70,,50,50,50,50,,,16,27,101,441,520,641,911,1148,1489,2009,3417,3868,4777,5816,6830,8269,9481,10912,11978,13164,14062,14559,15247,16995,17536,20333,23493,26857,26836
"Gambia, The",GMB,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,25,27,24,156,308,421,574,678,751,732,858,744,684,1680,1249,1257,1336,1966,2233,2572,3063,3382,5122,8473,11589,14564,17237,17813,10601
Guinea-Bissau,GNB,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,6000,30000,50000,61050,59520,56740,67800,66660,80000,82000,84000,90000,46000,37000,5000,5000,5000,5000,4000,5000,5000,5010,5350,5355,5000,4999,5001,5001,5006,5006,5006,5011,830,854,865,8885,3187,880,917,978,969,1008,1042,1000,1018,1053,1100,1117,1118,1173,1222,1306,1472,1650,1870,2043,2093,1643
Equatorial Guinea,GNQ,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,1000,90000,90000,120000,90000,40000,38000,18000,18000,,,,,,,,,60,115,214,340,342,398,474,419,422,504,526,549,584,540,478,460,402,381,341,306,261,230,196,168,142,131,127,140,156,170
Greece,GRC,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,17690,7090,23420,21820,21590,21290,1480,6610,5900,580,510,450,410,380,360,340,320,300,280,260,,,,6,6,16,6,,,93,221,247,175,173,163,124,93,296,268,221,333,93,92,67,61,52,54,48,88,108,111,101,106,107,95,95
Grenada,GRD,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,5,5,,,5,6,10,11,19,35,23,53,73,76,98,151,204,298,310,332,344,325,316,330,324,270,100,103,96,80,70
